mag;cluster
10;18
11;0
110;22
111;13
112;0
115;19
116;30
117;18
119;27
12;18
13;0
130;0
131;19
133;26
135;19
137;18
139;19
14;26
140;7
142;13
143;26
144;19
145;19
146;30
147;26
148;0
15;18
150;21
151;7
152;21
153;30
154;19
155;19
156;21
157;24
158;24
159;19
16;28
160;24
161;7
162;19
163;0
164;19
165;24
166;24
167;19
168;7
169;24
171;24
172;21
173;27
174;24
175;14
176;21
177;26
178;25
179;16
18;26
180;14
181;16
182;9
183;10
184;25
185;25
186;19
187;25
188;29
189;23
19;30
190;10
191;26
192;17
193;10
194;24
195;29
196;5
198;8
199;20
20;26
205;3
21;0
22;18
23;13
24;0
25;0
26;26
27;0
28;26
29;13
292;15
293;12
294;4
295;11
296;6
297;1
298;2
3;26
30;0
32;0
36;30
37;13
39;26
4;26
40;26
41;26
43;30
45;26
46;18
47;0
48;26
49;18
5;28
50;0
51;30
52;22
53;18
54;13
55;13
56;0
59;18
6;30
60;30
61;27
63;28
64;26
66;27
67;26
69;26
71;22
72;0
73;26
74;27
75;0
76;7
77;0
78;0
80;0
81;27
82;13
84;22
88;22
89;22
