A;B;mag1;mag2;couple_mag;union_product;commun_reappro1
119;147;147;119;(119, 147);133;79
119;195;195;119;(119, 195);134;81
119;37;119;37;(119, 37);140;81
119;143;143;119;(119, 143);133;78
119;144;144;119;(119, 144);133;80
119;5;119;5;(119, 5);134;78
119;133;133;119;(119, 133);133;77
119;49;119;49;(119, 49);133;82
119;292;292;119;(119, 292);133;79
119;171;171;119;(119, 171);133;79
119;52;119;52;(119, 52);139;78
119;296;296;119;(119, 296);134;79
119;80;119;80;(119, 80);132;81
119;28;119;28;(119, 28);132;79
119;137;137;119;(119, 137);133;77
119;75;119;75;(119, 75);133;80
119;53;119;53;(119, 53);133;82
119;24;119;24;(119, 24);132;80
119;43;119;43;(119, 43);133;78
119;40;119;40;(119, 40);133;79
119;66;119;66;(119, 66);132;79
119;198;198;119;(119, 198);133;81
119;110;119;110;(119, 110);132;78
119;74;119;74;(119, 74);138;79
119;190;190;119;(119, 190);133;82
119;172;172;119;(119, 172);141;80
119;69;119;69;(119, 69);132;79
119;161;161;119;(119, 161);140;80
119;165;165;119;(119, 165);132;82
119;60;119;60;(119, 60);133;82
119;131;131;119;(119, 131);132;79
119;181;181;119;(119, 181);133;80
119;139;139;119;(119, 139);132;82
119;111;119;111;(119, 111);133;82
119;20;119;20;(119, 20);133;81
119;19;119;19;(119, 19);133;77
119;82;119;82;(119, 82);140;80
119;21;119;21;(119, 21);132;79
119;192;192;119;(119, 192);133;80
119;48;119;48;(119, 48);132;80
119;160;160;119;(119, 160);132;79
119;295;295;119;(119, 295);134;79
119;140;140;119;(119, 140);140;77
119;77;119;77;(119, 77);132;80
119;167;167;119;(119, 167);132;78
119;135;135;119;(119, 135);133;79
119;81;119;81;(119, 81);139;79
119;50;119;50;(119, 50);132;79
119;168;168;119;(119, 168);137;82
119;196;196;119;(119, 196);133;54
119;183;183;119;(119, 183);132;79
119;116;119;116;(119, 116);133;79
119;186;186;119;(119, 186);133;81
119;184;184;119;(119, 184);134;80
119;178;178;119;(119, 178);133;79
119;188;188;119;(119, 188);132;79
119;157;157;119;(119, 157);133;81
119;54;119;54;(119, 54);137;82
119;15;119;15;(119, 15);132;80
119;156;156;119;(119, 156);134;76
119;11;119;11;(119, 11);132;82
119;73;119;73;(119, 73);133;79
119;169;169;119;(119, 169);132;80
119;16;119;16;(119, 16);139;77
119;64;119;64;(119, 64);132;79
119;56;119;56;(119, 56);132;80
119;47;119;47;(119, 47);132;81
119;193;193;119;(119, 193);134;79
119;29;119;29;(119, 29);140;79
119;151;151;119;(119, 151);140;80
119;175;175;119;(119, 175);134;79
119;150;150;119;(119, 150);141;80
119;158;158;119;(119, 158);132;80
119;55;119;55;(119, 55);138;80
119;148;148;119;(119, 148);133;77
119;176;176;119;(119, 176);140;79
119;182;182;119;(119, 182);135;65
119;36;119;36;(119, 36);132;75
119;153;153;119;(119, 153);134;76
119;71;119;71;(119, 71);141;79
119;177;177;119;(119, 177);133;78
119;163;163;119;(119, 163);132;80
119;14;119;14;(119, 14);132;80
119;166;166;119;(119, 166);132;80
119;117;119;117;(119, 117);132;80
119;41;119;41;(119, 41);134;81
119;32;119;32;(119, 32);134;82
119;145;145;119;(119, 145);132;81
119;22;119;22;(119, 22);133;81
119;13;119;13;(119, 13);134;82
119;205;205;119;(119, 205);134;52
119;6;119;6;(119, 6);132;73
119;130;130;119;(119, 130);133;79
119;45;119;45;(119, 45);132;80
119;46;119;46;(119, 46);133;81
119;164;164;119;(119, 164);133;78
119;27;119;27;(119, 27);133;80
119;67;119;67;(119, 67);132;80
119;12;119;12;(119, 12);132;79
119;112;119;112;(119, 112);133;79
119;154;154;119;(119, 154);134;81
119;162;162;119;(119, 162);134;80
119;76;119;76;(119, 76);132;75
119;3;119;3;(119, 3);133;82
119;84;119;84;(119, 84);140;79
119;179;179;119;(119, 179);139;78
119;152;152;119;(119, 152);132;69
119;61;119;61;(119, 61);132;78
119;63;119;63;(119, 63);132;73
119;142;142;119;(119, 142);135;81
119;191;191;119;(119, 191);134;77
119;10;119;10;(119, 10);133;79
119;89;119;89;(119, 89);141;76
119;187;187;119;(119, 187);133;79
119;174;174;119;(119, 174);134;79
119;297;297;119;(119, 297);133;79
119;39;119;39;(119, 39);134;79
119;185;185;119;(119, 185);132;80
119;115;119;115;(119, 115);132;79
119;78;119;78;(119, 78);132;78
119;4;119;4;(119, 4);132;78
